income_per_cap,municipality,pop_0_14,pop_75_plus,population,municip_tax_rate,ruling_coalition,parties_in_majority
166441,Vårgårda,2016,920,11089,21.209999,A,"M, C, FP, KD"
187153,Bollebygd,1683,677,8652,21.59,V,"S, V, MP"
166694,Grästorp,885,598,5630,21.57,A,"M, C, FP"
161779,Essunga,893,585,5538,21.57,A,"M, C, FP, KD, MP"
177644,Karlsborg,922,807,6786,21.32,Bl,"S, M"
152753,Gullspång,688,641,5240,22.49,Bl,"S, C"
170934,Tranemo,1924,1257,11640,21.5,Bl,"S, M, C, FP, KD"
152275,Bengtsfors,1267,1276,9556,22.92,Bl,"S, FP, MP"
147678,Mellerud,1274,1180,8936,22.6,Bl,"S, C"
172133,Lilla Edet,2190,1020,13031,22.370001,Bl,"S, V, FP"
168218,Mark,5911,3367,33887,21.209999,A,"M, C, KD"
161758,Svenljunga,1671,1036,10365,22.35,Bl,"S, FP, Landsbygdspartiet oberoende"
166303,Herrljunga,1534,949,9376,21.940001,Bl,"S, FP, MP Kommunens väl"
164239,Vara,2500,1668,15597,21.77,V,S
170067,Götene,2230,1261,13080,21.77,V,"S, Götene framtid"
160246,Tibro,1790,1191,10864,21.209999,Bl,"S, V, C, MP"
154791,Töreboda,1367,929,9072,21.219999,A,"M, C, FP, MP"
190435,Göteborg,89680,36261,541145,21.120001,V,"S, V, MP"
206813,Mölndal,12136,4639,62927,20.26,Bl,"S, V, KD, MP"
199690,Kungälv,7835,3813,42334,21.440001,Bl,"S, V, FP, MP, Utvecklingspartiet"
177701,Lysekil,2014,1789,14299,22.459999,Bl,"S, M, C, FP"
173168,Uddevalla,9245,5307,53517,22.16,V,"S, V, MP"
159793,Strömstad,2128,1197,12694,21.91,A,"C, FP, KD, MP"
172019,Vänersborg,6600,3802,37890,22.209999,Bl,"S, C, MP, Välfärdspartiet"
172204,Trollhättan,10096,4835,56929,21.559999,V,"S, V, MP"
181200,Alingsås,7048,3635,39188,21.360001,V,"S, V, MP"
175658,Borås,18661,9516,107022,21.309999,V,"S, V, MP"
170812,Ulricehamn,3942,2430,23244,21.049999,V,"S, V"
157457,Åmål,1876,1529,12326,22.459999,V,"S, V, MP"
169229,Mariestad,3640,2767,23921,21.26,A,"M, C, FP, KD"
179231,Lidköping,6366,3815,38761,21.26,V,"S, V, MP"
172011,Skara,3090,1752,18747,21.1,Bl,"S, V, FP, MP"
183597,Skövde,8669,4552,53134,20.860001,A,"M, C, FP, KD"
167729,Hjo,1438,952,8885,21.57,A,"M, C, FP, KD"
163468,Tidaholm,2007,1343,12617,22.07,V,S
163572,Falköping,5709,3445,32185,21.6,Bl,"S, C, KD"
165097,Kil,2105,1138,11885,22.35,Bl,"S, C"
141733,Eda,1285,973,8453,22.25,Bl,"Hela Edas lista stöd av V, C, KD"
155112,Torsby,1566,1592,11992,22.5,Bl,"S, C, FP"
164942,Storfors,607,417,4106,22.5,V,"S, V"
196684,Hammarö,3167,1178,15256,22.1,Bl,"S, V, C"
156072,Munkfors,477,560,3656,22.5,V,S
159961,Forshaga,1973,1095,11379,22.35,V,S
166850,Grums,1304,957,8958,22.5,V,S
136448,Årjäng,1540,1035,9804,22.450001,Bl,"S, M, FP, KD"
158782,Sunne,1879,1477,13099,22.15,V,"S, V, MP, Hela Sunne"
180379,Karlstad,13700,8093,88350,21.75,A,"M, C, FP, KD, MP"
163912,Kristinehamn,3556,2690,24114,22.450001,V,"S, V, MP"
154657,Filipstad,1558,1345,10613,22,Bl,"S, V, KD, MP"
161971,Hagfors,1473,1627,11921,22.5,V,S
164279,Arvika,3917,2984,25771,21.5,V,S
158623,Säffle,2235,1998,15334,22,A,"M, C, PF, KD, MP, SJK"
167958,Lekeberg,1421,649,7363,22.43,A,"M, C, FP, KD, MP"
176271,Laxå,740,734,5664,22.18,A,"M, C, FP, KD, MP"
168025,Hallsberg,2501,1453,15315,21.549999,V,"S, MP"
168606,Degerfors,1310,1053,9531,22.299999,V,"V, MP"
158151,Hällefors,914,952,6936,22.049999,Bl,"S, M, Landsbygdspartiet oberoende, Grythyttelistan"
156508,Ljusnarsberg,626,560,4913,21.030001,V,"S, V, MP"
174188,Örebro,25398,10823,142618,21.35,Bl,"S, C, KD"
168667,Kumla,4109,1650,21016,21.6,Bl,"S, M"
176477,Askersund,1661,1218,11119,21.950001,V,"S, V, MP"
180451,Karlskoga,4702,3308,30054,22,Bl,"S, V, FP"
174651,Nora,1661,1071,10352,22.25,V,"S, V"
171480,Lindesberg,3758,2331,23269,22.299999,Bl,"S, V, C"
169315,Skinnskatteberg,641,496,4434,22.51,A,"M, C, FP"
174178,Surahammar,1640,1013,9918,22.309999,Bl,"S, C,"
174562,Kungsör,1400,785,8269,22.030001,Bl,"S, V, FP, MP"
167761,Hallstahammar,2606,1678,15596,21.809999,V,"S, V, MP"
173672,Norberg,853,608,5719,22.66,V,S
189296,Västerås,24701,12444,143702,20.360001,Bl,"S, C, KD. MP"
166635,Sala,3530,2262,21925,22.309999,A,"M, C, FP, KD, Salas bästa"
177149,Fagersta,2276,1458,13133,22.110001,V,"S, V"
171688,Köping,4149,2675,25376,22.16,V,"S, V, MP"
168268,Arboga,2095,1475,13631,22.41,Bl,"S, V, C, OPA"
151139,Vansbro,1017,810,6694,22.299999,Bl,"S, C"
160576,Malung-Sälen,1433,1148,9969,22.57,Bl,"S, V, C"
169946,Gagnef,1770,976,10024,22.540001,V,"S, Kommunalsamlning"
176531,Leksand,2245,1713,15252,21.82,A,"M, C, FP, KD"
162857,Rättvik,1409,1515,10748,21.82,A,"M ,C, FP, KD"
150816,Orsa,981,831,6812,22.42,A,"M, C, FP, KD, MP"
151218,Älvdalen,1092,873,7052,22.790001,V,"S, MP"
179732,Smedjebacken,1595,1139,10712,22.459999,V,"S, V, MP"
169102,Mora,3070,2115,20006,22.34,A,"M, C, FP, KD, Morapartiet"
183991,Falun,9714,5183,56896,22.07,Bl,"S, C, MP"
169959,Borlänge,9164,4374,50715,22.42,V,"S, V, MP, Omsorg för alla"
174596,Säter,1760,1039,10886,22.32,Bl,"S, C"
170464,Hedemora,2262,1615,15085,22.17,Bl,"S, V,  C"
180022,Avesta,3293,2485,22022,21.969999,V,"S, V, MP"
178260,Ludvika,4085,2950,26030,22.07,V,"S, V, MP"
166827,Ockelbo,780,604,5765,22.76,Bl,"S, C"
175492,Hofors,1358,1123,9431,22.860001,V,"S, V"
159467,Ovanåker,1699,1352,11432,21.860001,Bl,"M, FP, S, MP"
155991,Nordanstig,1506,1005,9493,22.51,Bl,"S, C, MP"
158788,Ljusdal,2926,2218,18949,22.360001,Bl,"M ,C, FP, KD, V, Socialradikala demokraterna"
181522,Gävle,16661,8360,98314,22.26,V,"S, V, MP"
182498,Sandviken,6041,3882,37833,21.610001,Bl,"S, C, MP"
167516,Söderhamn,3711,2975,25456,21.66,V,"S, V, MP"
161784,Bollnäs,4078,2931,26394,21.860001,Bl,"S, V, FP, MP"
171542,Hudiksvall,5954,3763,36924,21.610001,V,"S, V"
169370,Ånge,1291,1214,9484,23.33,V,S
173265,Timrå,3122,1604,18025,22.639999,V,"S, V"
170832,Härnösand,3860,2695,24755,23.34,V,"S, V, MP"
188017,Sundsvall,16448,8968,97338,22.59,Bl,"S, V, C"
167227,Kramfors,2474,2305,18435,23.139999,V,"S, V, MP"
162107,Sollefteå,2929,2506,19776,23.389999,V,"S, V"
181486,Örnsköldsvik,9035,5987,55248,22.440001,V,"S, V"
156341,Ragunda,786,794,5440,23.219999,V,S
155903,Bräcke,884,775,6463,23.389999,Bl,"S, V, FP, Landsbygdens framtid i Bräcke"
162837,Krokom,2975,1181,14648,22.17,A,"M, C, KD, MP"
154179,Strömsund,1658,1539,11873,23.219999,V,S
157832,Åre,1747,827,10555,22.219999,Bl,"S, M, MP"
150285,Berg,1061,892,7067,22.52,V,"S, MP"
159313,Härjedalen,1318,1370,10224,22.469999,V,"S, V, Vox humana"
176308,Östersund,9992,5410,60495,22.02,V,"S, V, MP"
162240,Nordmaling,1097,866,7085,23.299999,A,C
145933,Bjurholm,371,390,2451,23.15,A,"M, C, FP, KD"
162058,Vindeln,820,700,5383,23.65,V,"S, V"
162913,Robertsfors,1086,720,6724,23.15,V,S
164475,Norsjö,677,507,4180,23.4,V,S
176156,Malå,481,371,3115,23.4,V,"S, V"
161218,Storuman,790,812,5955,23.15,A,"M, C, FP, KD"
152274,Sorsele,374,349,2565,23.15,Bl,"M, C, KD, V"
157370,Dorotea,381,441,2757,23.85,Ö,Doretea kommunlista
167127,Vännäs,1610,838,8616,23.65,V,"S, V, MP"
149387,Vilhelmina,1109,808,6848,23.450001,V,"S, V, en oberoende ledamot"
153208,Åsele,376,427,2838,23.15,A,"C, FP, Åselepartiet"
182227,Umeå,19906,8021,119613,22.85,V,S
171980,Lycksele,1928,1403,12208,23.1,V,"S, V"
177887,Skellefteå,11525,7414,72024,22.65,V,S
174109,Arvidsjaur,966,836,6484,22.799999,V,"S, V"
174593,Arjeplog,378,392,2907,23.5,V,S
172641,Jokkmokk,647,614,5086,22.950001,V,"S, V"
